productid,product_name,year_month,date,inventory_level,sales_units,price_pln_per_unit,storage_cost_pln_per_unit_month,shelf_life_months,lead_time_months,safety_stock_months,monthly_revenue,inventory_carrying_cost,annual_sales,average_inventory,average_monthly_demand,excess_inventory,inventory_turnover,lead_time_demand,reorder_point,expiration_risk,year,month,month_sin,month_cos,sales_lag_1,sales_lag_3,sales_lag_12,sales_roll_mean_3,sales_roll_std_3,sales_roll_mean_6,sales_roll_std_6,price_lag_1,price_pln_per_unit_pct_change,average_monthly_demand_safe,inventory_to_avg_monthly_demand,excess_inventory_pct_of_avg_demand,short_shelf_life_flag
P001,Product 001,202301,2023-01-01,219.0,56.0,20.62,0.34,20,3,0.7,1154.72,74.46,632.0,146.0,53.0,163.0,4.328767123287672,159.0,227.0,3361.06,2023,1,0.49999999999999994,0.8660254037844387,,,,,0.0,,0.0,,0.0,53.0,4.132075471698113,3.0754716981132075,0
P001,Product 001,202302,2023-02-01,172.0,47.0,20.62,0.34,20,3,0.7,969.14,58.48,632.0,146.0,53.0,125.0,4.328767123287672,159.0,227.0,2577.5,2023,2,0.8660254037844386,0.5000000000000001,56.0,,,56.0,0.0,56.0,0.0,20.62,0.0,53.0,3.2452830188679247,2.358490566037736,0
P001,Product 001,202303,2023-03-01,129.0,43.0,20.62,0.34,20,3,0.7,886.66,43.86,632.0,146.0,53.0,86.0,4.328767123287672,159.0,227.0,1773.3200000000002,2023,3,1.0,6.123233995736766e-17,47.0,,,51.5,6.363961030678928,51.5,6.363961030678928,20.62,0.0,53.0,2.4339622641509435,1.6226415094339623,0
P001,Product 001,202304,2023-04-01,89.0,40.0,20.62,0.34,20,3,0.7,824.8,30.26,632.0,146.0,53.0,49.0,4.328767123287672,159.0,227.0,1010.38,2023,4,0.8660254037844387,-0.4999999999999998,43.0,56.0,,48.666666666666664,6.658328118479392,48.666666666666664,6.658328118479392,20.62,0.0,53.0,1.679245283018868,0.9245283018867925,0
P001,Product 001,202305,2023-05-01,39.0,50.0,20.62,0.34,20,3,0.7,1031.0,13.26,632.0,146.0,53.0,-11.0,4.328767123287672,159.0,227.0,-226.82,2023,5,0.49999999999999994,-0.8660254037844387,40.0,47.0,,43.333333333333336,3.511884584284244,46.5,6.9522178715380685,20.62,0.0,53.0,0.7358490566037735,-0.20754716981132076,0
P001,Product 001,202306,2023-06-01,237.0,72.0,20.62,0.34,20,3,0.7,1484.64,80.58,632.0,146.0,53.0,165.0,4.328767123287672,159.0,227.0,3402.3,2023,6,1.2246467991473532e-16,-1.0,50.0,43.0,,44.333333333333336,5.131601439446882,47.2,6.220932405998314,20.62,0.0,53.0,4.471698113207547,3.1132075471698113,0
P001,Product 001,202307,2023-07-01,171.0,66.0,20.62,0.34,20,3,0.7,1360.92,58.14,632.0,146.0,53.0,105.0,4.328767123287672,159.0,227.0,2165.1,2023,7,-0.4999999999999997,-0.8660254037844388,72.0,40.0,,54.0,16.3707055437449,51.333333333333336,11.552777443829974,20.62,0.0,53.0,3.2264150943396226,1.9811320754716981,0
P001,Product 001,202308,2023-08-01,109.0,62.0,20.62,0.34,20,3,0.7,1278.44,37.06,632.0,146.0,53.0,47.0,4.328767123287672,159.0,227.0,969.14,2023,8,-0.8660254037844384,-0.5000000000000004,66.0,50.0,,62.666666666666664,11.372481406154654,53.0,12.992305415129369,20.62,0.0,53.0,2.056603773584906,0.8867924528301887,0
P001,Product 001,202309,2023-09-01,66.0,43.0,20.62,0.34,20,3,0.7,886.66,22.44,632.0,146.0,53.0,23.0,4.328767123287672,159.0,227.0,474.2600000000001,2023,9,-1.0,-1.8369701987210297e-16,62.0,72.0,,66.66666666666667,5.033222956847171,55.5,13.049904214207853,20.62,0.0,53.0,1.2452830188679245,0.4339622641509434,0
P001,Product 001,202310,2023-10-01,14.0,52.0,20.62,0.34,20,3,0.7,1072.24,4.76,632.0,146.0,53.0,-38.0,4.328767123287672,159.0,227.0,-783.5600000000001,2023,10,-0.8660254037844386,0.5000000000000001,43.0,66.0,,57.0,12.28820572744451,55.5,13.049904214207853,20.62,0.0,53.0,0.2641509433962264,-0.7169811320754716,0
P001,Product 001,202311,2023-11-01,274.0,58.0,20.62,0.34,20,3,0.7,1195.96,93.16,632.0,146.0,53.0,216.0,4.328767123287672,159.0,227.0,4453.92,2023,11,-0.5000000000000004,0.8660254037844384,52.0,62.0,,52.333333333333336,9.504384952922171,57.5,10.949885844153803,20.62,0.0,53.0,5.169811320754717,4.0754716981132075,0
P001,Product 001,202312,2023-12-01,231.0,43.0,20.62,0.34,20,3,0.7,886.66,78.54,632.0,146.0,53.0,188.0,4.328767123287672,159.0,227.0,3876.56,2023,12,-2.4492935982947064e-16,1.0,58.0,43.0,,51.0,7.549834435270754,58.833333333333336,10.323113225508402,20.62,0.0,53.0,4.3584905660377355,3.547169811320755,0
P001,Product 001,202401,2024-01-01,178.0,53.0,20.62,0.34,20,3,0.7,1092.86,60.52,641.0,158.0,53.0,125.0,4.056962025316456,159.0,227.0,2577.5,2024,1,0.49999999999999994,0.8660254037844387,43.0,52.0,56.0,51.0,7.549834435270754,54.0,9.695359714832653,20.62,0.0,53.0,3.358490566037736,2.358490566037736,0
